frequency,noun1,noun2
27934,health,care
12256,living,room
8266,law,enforcement
7787,parking,lot
7671,family,members
6419,executive,director
6400,interest,rates
6115,ice,cream
6066,dining,room
5992,phone,calls
5915,breast,cancer
5796,health,insurance
5622,cell,phone
5374,blood,pressure
5343,stock,market
5125,community,college
5062,heart,disease
4970,death,penalty
4844,credit,card
4790,phone,call
4743,police,officers
4648,supra,note
4548,heart,attack
4530,drug,use
4384,college,students
4293,climate,change
3914,press,conference
3859,school,students
3718,police,officer
3717,news,conference
3712,public,opinion
3475,lemon,juice
3451,task,force
3352,carbon,dioxide
3316,side,effects
3274,law,school
3267,mg,sodium
3250,child,care
3140,phone,number
3132,community,colleges
3086,nursing,home
3061,government,officials
3030,subject,matter
3021,school,system
3020,law,firm
2987,status,quo
2976,teaspoon,salt
2953,insurance,companies
2918,grocery,store
2915,school,year
2903,school,district
2900,credit,cards
2863,school,districts
2849,back,door
2831,work,force
2753,peace,process
2741,income,tax
2718,tax,cut
2694,kitchen,table
2666,talk,show
2642,school,board
2608,golf,course
2599,music,education
2587,faculty,members
2582,tax,cuts
2567,room,temperature
2539,health,problems
2493,education,programs
2486,substance,abuse
2476,district,attorney
2468,g,protein
2435,hotel,room
2427,locker,room
2423,oil,prices
2410,justice,system
2386,school,counselors
2372,power,plants
2305,staff,members
2253,emergency,room
2225,back,seat
2223,g,fat
2221,role,models
2209,mg,cholesterol
2175,starting,point
2162,security,forces
2159,control,group
2084,role,model
2084,crime,scene
2056,orange,juice
2052,market,share
2043,population,growth
2037,insurance,company
2021,birth,control
2019,family,member
1997,risk,factors
1994,cell,phones
1991,post,office
1981,g,fiber
1978,weight,loss
1947,news,media
1937,day,care
1934,heart,rate
1929,police,department
1918,oil,companies
1912,campaign,finance
1910,radio,station
1907,food,processor
1907,government,agencies
1896,welfare,reform
1894,child,abuse
1894,care,reform
1893,peanut,butter
1877,board,members
1872,data,collection
1865,test,scores
1856,health,services
1847,football,team
1846,age,group
1844,care,system
1844,air,pollution
1844,percent,increase
1841,box,office
1832,arts,education
1830,swimming,pool
1827,miles,north
1810,family,life
1809,steering,wheel
1780,miles,south
1767,prescription,drugs
1759,teacher,education
1751,coffee,table
1749,video,games
1741,substance,use
1733,time,period
1729,rights,movement
1720,capital,gains
1719,point,guard
1704,stem,cells
1694,space,station
1678,way,back
1677,interest,groups
1670,executive,officer
1665,gold,medal
1660,graduate,student
1656,drug,abuse
1644,growth,rate
1644,news,story
1624,problem,solving
1621,gas,station
1620,interest,rate
1615,percentage,points
1609,track,record
1603,board,member
1593,eye,contact
1590,vegetable,oil
1579,defense,attorney
1574,property,rights
1571,gender,differences
1566,labor,force
1566,training,camp
1562,power,plant
1552,school,psychologists
1548,unemployment,rate
1548,science,fiction
1548,air,conditioning
1546,baby,boomers
1535,operating,system
1533,e-mail,address
1530,tax,credit
1520,sales,tax
1519,home,run
1517,police,force
1510,price,tag
1502,prostate,cancer
1501,state,law
1485,law,professor
1484,majority,leader
1471,teaspoon,ground
1470,plastic,bag
1467,customer,service
1452,police,station
1449,apartment,building
1448,lung,cancer
1447,case,study
1446,information,technology
1445,tax,increase
1444,gun,control
1444,back,yard
1439,basketball,team
1434,college,student
1433,family,values
1431,family,history
1428,death,row
1420,community,service
1419,g,carbohydrate
1418,water,supply
1416,field,goal
1415,graduate,students
1414,budget,deficit
1403,department,store
1401,radio,stations
1397,holiday,season
1390,night,sky
1388,college,football
1384,art,history
1384,market,economy
1383,training,program
1383,blood,vessels
1380,business,community
1377,lime,juice
1375,gas,prices
1375,space,shuttle
1373,bell,pepper
1364,pickup,truck
1362,health,benefits
1358,waiting,room
1349,country,music
1346,rain,forest
1343,training,programs
1343,tsp.,salt
1342,body,parts
1338,life,expectancy
1334,policy,makers
1334,property,taxes
1326,fossil,fuels
1320,health,professionals
1320,movie,star
1312,cash,flow
1306,missile,defense
1303,birthday,party
1299,education,teachers
1298,education,program
1297,dance,floor
1296,stem,cell
1286,computer,screen
1285,business,leaders
1284,baking,sheet
1281,fuel,economy
1280,market,value
1280,press,secretary
1275,way,things
1274,cup,sugar
1272,life,insurance
1270,peace,talks
1270,time,frame
1270,milligrams,sodium
1268,spring,training
1265,water,quality
1263,drug,dealers
1258,appeals,court
1256,child,support
1253,air,quality
1251,drinking,water
1250,vantage,point
1249,web,site
1244,administration,officials
1242,plastic,wrap
1241,sea,level
1239,prescription,drug
1236,art,form
1234,town,hall
1232,auto,industry
1225,tax,dollars
1224,war,crimes
1223,drug,users
1220,cloves,garlic
1219,security,guard
1218,television,show
1214,body,weight
1212,family,planning
1209,dirt,road
